chain,iter,beta,score_cpxR,score_soxR
0,1010,0.5376833333333333,-0.0,0.7023924832648647
0,1020,0.5425166666666666,-0.0,0.10603133727686662
0,1030,0.54735,-0.0,0.49599491874336465
0,1040,0.5521833333333334,-0.0,1.2369530713982173
0,1050,0.5570166666666667,-0.0,-0.0
0,1060,0.56185,-0.0,0.22817681850684365
0,1070,0.5666833333333333,-0.0,0.18228469842361475
0,1080,0.5715166666666668,-0.0,0.8825627110042001
0,1090,0.57635,-0.0,0.20733123161044276
0,1100,0.5811833333333334,-0.0,1.1854903051883807
0,1110,0.5860166666666666,-0.0,0.3829193548143643
0,1120,0.59085,-0.0,1.6949374001281035
0,1130,0.5956833333333333,-0.0,0.46534250010276473
0,1140,0.6005166666666667,-0.0,0.4334481060872339
0,1150,0.60535,-0.0,0.9845511200038244
0,1160,0.6101833333333333,-0.0,0.7237560403650946
0,1170,0.6150166666666667,-0.0,-0.0
0,1180,0.61985,-0.0,0.9921436330456298
0,1190,0.6246833333333334,-0.0,0.5326191745706067
0,1200,0.6295166666666667,-0.0,0.6524694865354734
0,1210,0.6343500000000001,-0.0,-0.0
0,1220,0.6391833333333333,-0.0,0.3352725005967631
0,1230,0.6440166666666667,-0.0,0.24455022064142354
0,1240,0.64885,-0.0,0.3765145747532408
0,1250,0.6536833333333334,-0.0,-0.0
0,1260,0.6585166666666668,-0.0,0.0007599597300533922
0,1270,0.66335,-0.0,0.1429319652123959
0,1280,0.6681833333333334,-0.0,0.9355086844869256
0,1290,0.6730166666666667,-0.0,-0.0
0,1300,0.6778500000000001,-0.0,0.16419820435270865
0,1310,0.6826833333333334,-0.0,0.4191096412726122
0,1320,0.6875166666666667,-0.0,0.4643882035551988
0,1330,0.69235,-0.0,0.2659504205977271
0,1340,0.6971833333333334,-0.0,0.41544032958130783
0,1350,0.7020166666666667,-0.0,0.1651593591374249
0,1360,0.7068500000000001,-0.0,0.18452074749842778
0,1370,0.7116833333333333,-0.0,0.0997667189652096
0,1380,0.7165166666666667,-0.0,0.07283916306790929
0,1390,0.72135,-0.0,-0.0
0,1400,0.7261833333333333,-0.0,0.3635942739272847
0,1410,0.7310166666666668,-0.0,1.4036579606979829
0,1420,0.73585,-0.0,2.0761797767698735
0,1430,0.7406833333333334,-0.0,1.1067110163404386
0,1440,0.7455166666666667,-0.0,4.490423418795691
0,1450,0.75035,-0.0,0.9340979257145772
0,1460,0.7551833333333333,-0.0,1.3983348516184797
0,1470,0.7600166666666667,-0.0,0.10647452308796455
0,1480,0.76485,-0.0,0.2659504205977271
0,1490,0.7696833333333334,-0.0,0.24894565830344118
0,1500,0.7745166666666666,-0.0,0.11973073534621066
0,1510,0.77935,-0.0,0.8408060153449579
0,1520,0.7841833333333333,-0.0,0.309435331096329
0,1530,0.7890166666666667,-0.0,1.0190038200687714
0,1540,0.7938500000000001,-0.0,0.5717480276982861
0,1550,0.7986833333333333,-0.0,0.45934358358532207
0,1560,0.8035166666666668,-0.0,0.4493155735181792
0,1570,0.80835,-0.0,1.180651315438078
0,1580,0.8131833333333334,-0.0,0.8503612729577086
0,1590,0.8180166666666666,-0.0,0.08157380855863527
0,1600,0.8228500000000001,-0.0,0.6952582264057112
0,1610,0.8276833333333333,-0.0,0.6104695239884129
0,1620,0.8325166666666667,-0.0,0.3621656784880844
0,1630,0.83735,-0.0,0.36782004940732366
0,1640,0.8421833333333334,-0.0,0.34308542721907886
0,1650,0.8470166666666666,-0.0,0.3383691472268595
0,1660,0.8518500000000001,-0.0,-0.0
0,1670,0.8566833333333334,-0.0,0.04194952869901374
0,1680,0.8615166666666667,-0.0,0.049517196254050086
0,1690,0.86635,-0.0,0.22244819510417582
0,1700,0.8711833333333334,-0.0,0.8192100343537406
0,1710,0.8760166666666667,-0.0,0.36155799857996385
0,1720,0.8808499999999999,-0.0,0.18378293385699687
0,1730,0.8856833333333334,-0.0,0.3242694232275506
0,1740,0.8905166666666667,-0.0,0.34169192286967365
0,1750,0.89535,-0.0,0.6174984735965364
0,1760,0.9001833333333334,-0.0,0.6354936238296437
0,1770,0.9050166666666667,-0.0,1.6627783754723844
0,1780,0.9098499999999999,-0.0,0.3352725005967631
0,1790,0.9146833333333334,-0.0,1.32924600537681
0,1800,0.9195166666666668,-0.0,0.8671057370522054
0,1810,0.92435,-0.0,2.1614077241420078
0,1820,0.9291833333333333,-0.0,0.5054656853022009
0,1830,0.9340166666666667,-0.0,0.04314465275621941
0,1840,0.93885,-0.0,0.679271129093749
0,1850,0.9436833333333333,-0.0,-0.0
0,1860,0.9485166666666668,-0.0,-0.0
0,1870,0.95335,-0.0,0.25614253585054936
0,1880,0.9581833333333333,-0.0,0.8522265624124242
0,1890,0.9630166666666667,-0.0,0.20758080974831683
0,1900,0.96785,-0.0,1.0602048040197432
0,1910,0.9726833333333333,-0.0,0.6548686212238496
0,1920,0.9775166666666667,-0.0,0.5371215101791614
0,1930,0.9823500000000001,-0.0,0.5371215101791614
0,1940,0.9871833333333333,-0.0,0.47184747704532276
0,1950,0.9920166666666667,-0.0,0.41954387491303485
0,1960,0.99685,-0.0,0.42268720345058136
0,1970,1.0016833333333333,-0.0,0.014410466826421135
0,1980,1.0065166666666665,-0.0,0.020716220644791426
0,1990,1.01135,-0.0,0.1291655762708538
0,2000,1.0161833333333332,-0.0,1.0660225908659808
0,2010,1.0210166666666667,-0.0,0.9455821201119877
0,2020,1.02585,-0.0,1.0772726825753183
0,2030,1.0306833333333334,-0.0,1.0772726825753183
0,2040,1.0355166666666666,-0.0,1.1027901310819477
0,2050,1.04035,-0.0,1.1153042469152445
0,2060,1.0451833333333334,-0.0,0.6001468508639959
0,2070,1.0500166666666666,-0.0,0.8150660022049221
0,2080,1.0548499999999998,-0.0,1.4771485037184044
0,2090,1.0596833333333333,-0.0,1.4848927664013232
0,2100,1.0645166666666668,-0.0,0.8639054842463992
0,2110,1.06935,-0.0,0.24660948231631155
0,2120,1.0741833333333335,-0.0,0.1160907647277446
0,2130,1.0790166666666667,-0.0,1.2886310175246618
0,2140,1.08385,-0.0,1.2097412597014467
0,2150,1.0886833333333334,-0.0,0.9443460940017289
0,2160,1.0935166666666667,-0.0,0.2885993062743593
0,2170,1.09835,-0.0,0.34308542721907886
0,2180,1.1031833333333334,-0.0,1.0460022582078186
0,2190,1.1080166666666666,-0.0,0.45020511313473915
0,2200,1.11285,-0.0,0.9744174778957557
0,2210,1.1176833333333334,-0.0,0.18518837629786317
0,2220,1.1225166666666668,-0.0,1.139797590721847
0,2230,1.12735,-0.0,0.3694540958723265
0,2240,1.1321833333333333,-0.0,0.1688321540103959
0,2250,1.1370166666666668,-0.0,-0.0
0,2260,1.14185,-0.0,0.20758080974831683
0,2270,1.1466833333333333,-0.0,0.44569421565911965
0,2280,1.1515166666666667,-0.0,0.32021461764377396
0,2290,1.15635,-0.0,0.9845511200038244
0,2300,1.1611833333333332,-0.0,0.7301876517703111
0,2310,1.1660166666666667,-0.0,1.0235371540087623
0,2320,1.17085,-0.0,-0.0
0,2330,1.1756833333333334,-0.0,-0.0
0,2340,1.1805166666666667,-0.0,-0.0
0,2350,1.1853500000000001,-0.0,-0.0
0,2360,1.1901833333333334,-0.0,0.5538398733983979
0,2370,1.1950166666666666,-0.0,0.4737688315495777
0,2380,1.19985,-0.0,0.21969027997011178
0,2390,1.2046833333333333,-0.0,1.0716133636383753
0,2400,1.2095166666666666,-0.0,0.46901534352281815
0,2410,1.21435,-0.0,0.44201437378412395
0,2420,1.2191833333333333,-0.0,0.17438976190379207
0,2430,1.2240166666666668,-0.0,0.7021554416397076
0,2440,1.22885,-0.0,2.08147885056077
0,2450,1.2336833333333335,-0.0,2.231648087930743
0,2460,1.2385166666666667,-0.0,1.7580193726010758
0,2470,1.24335,-0.0,1.2610194071616079
0,2480,1.2481833333333334,-0.0,1.5260888593867035
0,2490,1.2530166666666667,-0.0,1.0441461346663539
0,2500,1.25785,-0.0,0.49243673932039184
0,2510,1.2626833333333334,-0.0,-0.0
0,2520,1.2675166666666666,-0.0,-0.0
0,2530,1.2723499999999999,-0.0,0.046460744810720184
0,2540,1.2771833333333333,-0.0,-0.0
0,2550,1.2820166666666668,-0.0,0.887690597703307
0,2560,1.28685,-0.0,0.887690597703307
0,2570,1.2916833333333333,-0.0,0.5300671558345864
0,2580,1.2965166666666668,-0.0,0.23297196244271198
0,2590,1.30135,-0.0,0.46266404162765656
0,2600,1.3061833333333333,-0.0,3.10952324060852
0,2610,1.3110166666666667,-0.0,0.7191961427795475
0,2620,1.31585,-0.0,0.020731418282037232
0,2630,1.3206833333333332,-0.0,0.2489809342383639
0,2640,1.3255166666666667,-0.0,1.5924368052978923
0,2650,1.33035,-0.0,0.5253229412880895
0,2660,1.3351833333333334,-0.0,-0.0
0,2670,1.3400166666666666,-0.0,-0.0
0,2680,1.34485,-0.0,1.014636505602394
0,2690,1.3496833333333333,-0.0,1.2166109193586099
0,2700,1.3545166666666666,-0.0,1.191846247199596
0,2710,1.35935,-0.0,0.14943862623582382
0,2720,1.3641833333333333,-0.0,0.13535095181439039
0,2730,1.3690166666666665,-0.0,0.24160887569814318
0,2740,1.37385,-0.0,0.45110046139337495
0,2750,1.3786833333333333,-0.0,0.2781622289326077
0,2760,1.3835166666666667,-0.0,0.11197011305062095
0,2770,1.38835,-0.0,0.17174722825625022
0,2780,1.3931833333333334,-0.0,0.06665776138852969
0,2790,1.3980166666666667,-0.0,-0.0
0,2800,1.4028500000000002,-0.0,0.799927807874416
0,2810,1.4076833333333334,-0.0,0.5253229412880895
0,2820,1.4125166666666666,-0.0,0.2674102490630083
0,2830,1.4173499999999999,-0.0,-0.0
0,2840,1.4221833333333334,-0.0,0.5075897300147011
0,2850,1.4270166666666666,-0.0,0.44463003390739875
0,2860,1.4318499999999998,-0.0,0.2041673479983027
0,2870,1.4366833333333333,-0.0,0.8317159097980537
0,2880,1.4415166666666668,-0.0,2.156617687209874
