chain,iter,beta,score_cpxR,score_soxR
3,1520,1.0,-4212.0,-15307.0
3,1530,1.0,-3006.0,-16595.0
3,1540,1.0,-4820.0,-17963.0
3,1550,1.0,-5052.0,-15323.0
3,1560,1.0,-3053.0,-14222.0
3,1570,1.0,-3641.0,-13024.0
3,1580,1.0,-4330.0,-14523.0
3,1590,1.0,-6210.0,-18012.0
3,1600,1.0,-5707.0,-18048.0
3,1610,1.0,-5670.0,-16433.0
3,1620,1.0,-4898.0,-15389.0
3,1630,1.0,-3413.0,-15122.0
