chain,iter,beta,score_soxR,score_cpxR
0,0,0.01,-13058.0,-5373.0
0,10,0.0145,-17876.0,-3638.0
0,20,0.019000000000000003,-17089.0,-4783.0
0,30,0.0235,-18512.0,-2933.0
0,40,0.028000000000000004,-14183.0,-3353.0
0,50,0.0325,-16553.0,-6058.0
0,60,0.037000000000000005,-17728.0,-2953.0
0,70,0.0415,-13041.0,-3606.0
0,80,0.046000000000000006,-12998.0,-2092.0
0,90,0.05050000000000001,-10668.0,-6073.0
0,100,0.05500000000000001,-14912.0,-4646.0
0,110,0.05950000000000001,-13437.0,-3858.0
0,120,0.064,-17021.0,-6278.0
0,130,0.0685,-13191.0,-5104.0
0,140,0.073,-15514.0,-4758.0
0,150,0.0775,-16264.0,-3822.0
0,160,0.082,-14375.0,-5517.0
0,170,0.08650000000000001,-16086.0,-6098.0
0,180,0.09100000000000001,-14390.0,-5810.0
0,190,0.0955,-15299.0,-3899.0
0,200,0.1,-15556.0,-5186.0
0,210,0.16,-14732.0,-4772.0
0,220,0.22,-14531.0,-3832.0
0,230,0.28,-16409.0,-4058.0
0,240,0.33999999999999997,-14166.0,-3652.0
0,250,0.4,-14066.0,-5234.0
0,260,0.4600000000000001,-9353.0,-5710.0
0,270,0.52,-16191.0,-4156.0
0,280,0.58,-12379.0,-1964.0
0,290,0.64,-11173.0,-1791.0
0,300,0.7,-11549.0,-3010.0
0,310,0.7599999999999999,-11501.0,-4293.0
0,320,0.8200000000000001,-17318.0,-4459.0
0,330,0.88,-14707.0,-2922.0
0,340,0.9400000000000001,-17104.0,-5079.0
0,350,1.0,-10869.0,-5183.0
0,360,1.0,-15234.0,-6467.0
0,370,1.0,-17533.0,-5761.0
0,380,1.0,-16383.0,-4056.0
0,390,1.0,-14687.0,-3108.0
0,400,1.0,-12262.0,-418.0
1,410,1.0,-13573.0,-3992.0
1,420,1.0,-14548.0,-2267.0
1,430,1.0,-9710.0,-3589.0
1,440,1.0,-11332.0,-1792.0
1,450,1.0,-10544.0,-1170.0
1,460,1.0,-16448.0,-4808.0
1,470,1.0,-15152.0,-5551.0
1,480,1.0,-12495.0,-4601.0
1,490,1.0,-11628.0,-3719.0
1,500,1.0,-11662.0,-5755.0
1,510,1.0,-10536.0,-3739.0
1,520,1.0,-5411.0,-3309.0
1,530,1.0,-7916.0,-3442.0
1,540,1.0,-11076.0,-3452.0
1,550,1.0,-12729.0,-5684.0
1,560,1.0,-14258.0,-5734.0
1,570,1.0,-12943.0,-6090.0
1,580,1.0,-8661.0,-5708.0
1,590,1.0,-12465.0,-4717.0
1,600,1.0,-12769.0,-6105.0
1,610,1.0,-13233.0,-5550.0
1,620,1.0,-13081.0,-3027.0
1,630,1.0,-11907.0,-2755.0
1,640,1.0,-11750.0,-4268.0
1,650,1.0,-11092.0,-4926.0
1,660,1.0,-12610.0,-5383.0
1,670,1.0,-11735.0,-4464.0
1,680,1.0,-12943.0,-6315.0
1,690,1.0,-9850.0,-5411.0
1,700,1.0,-9627.0,-3335.0
1,710,1.0,-10801.0,-2460.0
1,720,1.0,-12271.0,-4706.0
1,730,1.0,-13125.0,-4350.0
1,740,1.0,-13729.0,-3526.0
1,750,1.0,-14475.0,-3310.0
1,760,1.0,-12985.0,-3197.0
1,770,1.0,-11860.0,-1740.0
1,780,1.0,-15341.0,-2671.0
1,790,1.0,-13271.0,-3183.0
1,800,1.0,-14099.0,-4890.0
1,810,1.0,-13144.0,-4802.0
2,820,1.0,-13034.0,-4395.0
2,830,1.0,-15406.0,-4695.0
2,840,1.0,-15313.0,-1568.0
2,850,1.0,-17421.0,-3948.0
2,860,1.0,-17962.0,-4569.0
2,870,1.0,-17689.0,-3537.0
2,880,1.0,-13834.0,-4105.0
2,890,1.0,-13048.0,-4527.0
2,900,1.0,-11879.0,-4228.0
2,910,1.0,-12815.0,-4466.0
2,920,1.0,-15053.0,-4884.0
2,930,1.0,-15540.0,-6128.0
2,940,1.0,-16077.0,-5055.0
2,950,1.0,-14636.0,-3554.0
2,960,1.0,-10026.0,-3687.0
2,970,1.0,-9012.0,-6346.0
2,980,1.0,-8862.0,-6127.0
2,990,1.0,-8935.0,-3090.0
2,1000,1.0,-8553.0,-3694.0
2,1010,1.0,-12134.0,-4269.0
2,1020,1.0,-18095.0,-6341.0
2,1030,1.0,-12586.0,-3782.0
2,1040,1.0,-13711.0,-4982.0
2,1050,1.0,-9512.0,-3245.0
2,1060,1.0,-13438.0,-4446.0
2,1070,1.0,-14330.0,-4127.0
2,1080,1.0,-15421.0,-3363.0
2,1090,1.0,-18021.0,-4859.0
2,1100,1.0,-13607.0,-4874.0
2,1110,1.0,-8416.0,-3078.0
2,1120,1.0,-14191.0,-5049.0
2,1130,1.0,-8948.0,-2133.0
2,1140,1.0,-7661.0,-3345.0
2,1150,1.0,-11151.0,-4590.0
2,1160,1.0,-10601.0,-3419.0
2,1170,1.0,-9966.0,-4246.0
2,1180,1.0,-6488.0,-3185.0
