chain,iter,beta,score_soxR,score_cpxR
0,0,0.1,-12720.0,-6971.0
0,10,0.1004,-14107.0,-4221.0
0,20,0.1008,-17910.0,-94.0
0,30,0.10120000000000001,-14257.0,-6345.0
0,40,0.10160000000000001,-13396.0,-4651.0
0,50,0.10200000000000001,-14242.0,-4658.0
0,60,0.1024,-13363.0,-2939.0
0,70,0.1028,-16771.0,-4839.0
0,80,0.1032,-15176.0,-5440.0
0,90,0.10360000000000001,-14112.0,-5812.0
0,100,0.10400000000000001,-12717.0,-6309.0
0,110,0.1044,-14406.0,-3645.0
0,120,0.1048,-20210.0,-4807.0
0,130,0.1052,-13953.0,-3290.0
0,140,0.1056,-13982.0,-4008.0
0,150,0.10600000000000001,-7015.0,-4516.0
0,160,0.10640000000000001,-16480.0,-4593.0
0,170,0.1068,-12614.0,-3841.0
0,180,0.1072,-11982.0,-2586.0
0,190,0.1076,-12496.0,-5917.0
0,200,0.10800000000000001,-15823.0,-5229.0
0,210,0.10840000000000001,-18862.0,-4144.0
0,220,0.10880000000000001,-17235.0,-5360.0
0,230,0.1092,-12122.0,-3675.0
0,240,0.1096,-14132.0,-4540.0
0,250,0.11000000000000001,-13548.0,-4844.0
0,260,0.1104,-13867.0,-2482.0
0,270,0.11080000000000001,-15486.0,-4780.0
0,280,0.11120000000000001,-14406.0,-5557.0
0,290,0.1116,-16757.0,-3862.0
0,300,0.112,-15249.0,-4383.0
0,310,0.1124,-15480.0,-4277.0
0,320,0.11280000000000001,-12738.0,-4818.0
0,330,0.11320000000000001,-14342.0,-4487.0
0,340,0.1136,-15258.0,-5479.0
0,350,0.114,-14459.0,-3752.0
0,360,0.1144,-12522.0,-2023.0
0,370,0.11480000000000001,-16328.0,-3474.0
0,380,0.11520000000000001,-12992.0,-4085.0
0,390,0.11560000000000001,-14200.0,-4939.0
0,400,0.116,-14065.0,-3230.0
0,410,0.1164,-16198.0,-4846.0
0,420,0.11680000000000001,-14902.0,-5381.0
0,430,0.1172,-13064.0,-4244.0
0,440,0.11760000000000001,-11612.0,-5429.0
0,450,0.11800000000000001,-14367.0,-2739.0
0,460,0.1184,-9595.0,-3629.0
0,470,0.1188,-16391.0,-6564.0
0,480,0.1192,-13276.0,-4892.0
0,490,0.11960000000000001,-8656.0,-3270.0
0,500,0.12000000000000001,-17348.0,-4249.0
0,510,0.12040000000000001,-11404.0,-4396.0
0,520,0.1208,-15144.0,-3157.0
0,530,0.1212,-14760.0,-2580.0
0,540,0.12160000000000001,-16894.0,-998.0
0,550,0.12200000000000001,-14058.0,-3891.0
0,560,0.12240000000000001,-17186.0,-4633.0
0,570,0.1228,-14648.0,-4605.0
0,580,0.1232,-12411.0,-6531.0
0,590,0.1236,-13726.0,-2418.0
0,600,0.124,-15623.0,-4793.0
0,610,0.12440000000000001,-14149.0,-4043.0
0,620,0.12480000000000001,-18524.0,-3379.0
0,630,0.1252,-16424.0,-4456.0
0,640,0.12560000000000002,-14713.0,-3953.0
0,650,0.126,-13622.0,-5958.0
0,660,0.1264,-14191.0,-5563.0
0,670,0.12680000000000002,-15448.0,-5862.0
0,680,0.1272,-16680.0,-5796.0
0,690,0.12760000000000002,-13233.0,-4972.0
0,700,0.128,-11230.0,-4681.0
0,710,0.12840000000000001,-11765.0,-3430.0
0,720,0.1288,-16563.0,-5351.0
0,730,0.1292,-15225.0,-4499.0
0,740,0.1296,-13748.0,-4700.0
0,750,0.13,-16416.0,-4776.0
0,760,0.13040000000000002,-13901.0,-50.0
0,770,0.1308,-16739.0,-2644.0
0,780,0.1312,-12917.0,-3913.0
0,790,0.1316,-16714.0,-4110.0
0,800,0.132,-14844.0,-5083.0
0,810,0.13240000000000002,-14430.0,-2872.0
0,820,0.1328,-12696.0,-4268.0
0,830,0.1332,-15988.0,-4515.0
0,840,0.1336,-19058.0,-4058.0
0,850,0.134,-15516.0,-5195.0
