chain,draw,score_cpxR,score_soxR
0,0,-3922.0,-14388.0
0,2,-3573.0,-13519.0
0,4,-3420.0,-9130.0
0,6,-3474.0,-7137.0
0,10,-4612.0,-6733.0
0,12,-4612.0,-5559.0
0,14,-4051.0,-4385.0
0,25,-3695.0,-4039.0
0,31,-3751.0,-2865.0
0,43,-3751.0,-3065.0
0,51,-1845.0,-2874.0
0,53,-2003.0,-2558.0
0,56,-2003.0,-1457.0
0,62,-1885.0,-234.0
0,66,-1449.0,-1442.0
0,72,-1217.0,-336.0
0,79,-1039.0,-326.0
0,106,-1010.0,-811.0
0,108,-1005.0,-267.0
0,110,-872.0,-491.0
0,117,-821.0,-599.0
0,124,-623.0,72.0
0,130,-469.0,683.0
0,137,-279.0,-308.0
0,156,-279.0,866.0
0,178,184.0,575.0
0,257,370.0,883.0
0,268,569.0,980.0
0,317,569.0,862.0
0,340,884.0,1623.0
0,425,884.0,1741.0
0,604,884.0,1623.0
0,629,884.0,1307.0
0,721,1568.0,1764.0
0,999,1568.0,1764.0
1,0,-3396.0,-9397.0
1,4,-3573.0,-13519.0
1,5,-3474.0,-7137.0
1,6,-4193.0,-7907.0
1,7,-4612.0,-6733.0
1,10,-3474.0,-7137.0
1,13,-3016.0,-7078.0
1,14,-5502.0,-5904.0
1,17,-3585.0,-5198.0
1,23,-3695.0,-4039.0
1,25,-4051.0,-4385.0
1,35,-4184.0,-4258.0
1,46,-4028.0,-3211.0
1,50,-1845.0,-2874.0
1,51,-2767.0,-3692.0
1,54,-1389.0,-2518.0
1,58,-2299.0,-2002.0
1,70,-1217.0,-336.0
1,72,-1449.0,-1442.0
1,83,-1195.0,-1193.0
1,105,-1010.0,-811.0
1,106,-1005.0,-267.0
1,108,-926.0,-175.0
1,110,-1005.0,-267.0
1,111,-1010.0,-811.0
1,113,-1005.0,-267.0
1,116,-821.0,-599.0
1,117,-872.0,-491.0
1,121,-623.0,72.0
1,124,-821.0,-599.0
1,129,-469.0,683.0
1,130,-623.0,82.0
1,177,184.0,575.0
1,178,-279.0,866.0
1,216,346.0,-24.0
1,256,346.0,1150.0
1,257,184.0,575.0
1,267,569.0,980.0
1,268,370.0,824.0
1,289,426.0,449.0
1,339,884.0,1623.0
1,340,569.0,921.0
1,500,738.0,624.0
1,720,1568.0,1764.0
1,721,884.0,1366.0
1,736,884.0,1682.0
1,925,884.0,1307.0
1,996,884.0,1682.0
